"iso3","month","access","percapita_nets","loess_predicted_access"
"COD",5,0.614947651496359,0.454750825756713,0.653963155898082
"COD",4,0.61458038306843,0.454782653242597,0.653987249950914
"GIN",9,0.636795737384268,0.455859931060179,0.654801704114446
"SEN",4,0.680433298237899,0.457376302462211,0.655944842931743
"MWI",3,0.729899967515248,0.458970198158715,0.657142746627863
"COM",3,0.649046843268642,0.461114475570329,0.658749281065176
"BFA",4,0.65361102345226,0.46195349107492,0.659376576720904
"SLE",3,0.646952165638019,0.463579791952822,0.660590801469909
"UGA",3,0.715873695366416,0.468091483935646,0.663951921613242
"SSD",6,0.664618681744159,0.475010021018823,0.669107898935494
"BFA",3,0.666078816613087,0.478393871580754,0.671641935134027
"CMR",12,0.663018648361446,0.478422186397452,0.67166319511224
"MWI",2,0.745947750820419,0.478873906740208,0.672002510596483
"CMR",11,0.662889583456216,0.479202766028684,0.672249713087254
"CMR",10,0.662503987083852,0.479625678412095,0.672567841031118
"SEN",3,0.698314176777935,0.481533960432889,0.674006735805643
"CMR",9,0.662933189765771,0.481704792541703,0.674135840892715
"GIN",8,0.653690122309025,0.481753150290647,0.674172396149175
"CMR",8,0.665583191968227,0.485638173098387,0.677123942765564
"TCD",7,0.654834468441043,0.48879192645195,0.679544808790841
"CMR",7,0.66816962850843,0.489691236463326,0.680239859485759
"BFA",2,0.67774844149433,0.492614548585765,0.682515425798652
"CMR",6,0.670188455541077,0.492969219923782,0.682793304815231
"SLE",4,0.670619906339812,0.494798035252778,0.684232770315352
"GNB",5,0.664761913380183,0.495115081282386,0.684483231604017
"CMR",5,0.671185297269812,0.495618468617601,0.684880588752835
"CMR",4,0.67301617566954,0.498119787226442,0.686849422341105
"MWI",1,0.762755138897593,0.498650278270741,0.687265785345265
"SSD",7,0.685242222812497,0.500724249811319,0.688889587657332
"CMR",3,0.675844041278376,0.501228944566983,0.689283780844347
"SEN",2,0.714264956696235,0.502324300819609,0.690138034965434
"COM",4,0.679332234320361,0.502508065415745,0.690281179883835
"CMR",2,0.679511836556945,0.504709638415867,0.691992322623926
"UGA",4,0.742566260665713,0.506730658577371,0.693557021770193
"BFA",1,0.688838268169598,0.507462268157024,0.69412201369546
"GIN",7,0.671737201289569,0.508033763980509,0.694562830952732
"CMR",1,0.682500905024691,0.508356652142803,0.694811684178354
"TGO",1,0.768437256308867,0.520031003667967,0.703712958652251
"BEN",2,0.725718436620145,0.520904887860842,0.704371907689325
"SSD",8,0.698653298959935,0.520948500270501,0.70440476726212
"TCD",8,0.679087430386157,0.523141707799575,0.706054037174186
"SEN",1,0.731431414601147,0.525285186306202,0.707659914555723
"SLE",5,0.691676361118323,0.525452681065444,0.707785152844571
"GIN",6,0.688229151335055,0.532782982496978,0.713231665922215
"SSD",9,0.71230158050948,0.540956107429709,0.719227503187042
"COM",5,0.703638731495334,0.542529833339388,0.720373020734538
"GNB",6,0.698470551113856,0.542535708885134,0.720377292239492
"UGA",5,0.76724991579713,0.543950714551696,0.721404853854471
"SSD",12,0.718623668605445,0.549318360117221,0.725282390266801
"SSD",11,0.718986662662464,0.550261247835143,0.725960250064374
"SSD",10,0.719518105283969,0.551123594342243,0.726579365149995
"TCD",9,0.700380177644801,0.556201535243688,0.730208982598976
"SLE",6,0.711874377526639,0.556830232749332,0.730656484887497
"GIN",5,0.704280788389978,0.557742082420047,0.73130480903732
"TGO",2,0.792930412117645,0.565410939273679,0.73672422954997
"TCD",12,0.708890537925695,0.570035632342541,0.739964742354964
"TCD",11,0.709845857898233,0.571368878872622,0.740895219400746
"TCD",10,0.710646763498088,0.572637943013417,0.741779384815224
"GIN",4,0.718774606802099,0.581580656162709,0.747969192284132
"UGA",6,0.791270834934595,0.581815045354412,0.748130499135281
"COM",6,0.728131975224587,0.583534131563657,0.749312173126357
"GNB",7,0.727666069053575,0.585100524235253,0.750386761516422
"SLE",7,0.729527978551543,0.585335186567693,0.750547573601004
"BEN",3,0.769024026510048,0.587888279220587,0.752294317142011
"MLI",1,0.825054815060218,0.596590080486476,0.758209771975697
"GIN",3,0.734935351820145,0.605375520597451,0.764126360854099
"TGO",3,0.814179363577636,0.608045557078612,0.765914203216362
"MLI",2,0.832225934684911,0.611963015174478,0.768529126988973
"SLE",8,0.745581039520058,0.61326924452169,0.769398946597878
"UGA",7,0.812298066487224,0.616599724650629,0.771612144231825
"COM",7,0.750162783224883,0.621437062540769,0.774815470701514
"GNB",8,0.751403875506108,0.622804610348346,0.775718766414045
"GIN",2,0.749634770753333,0.625878423169203,0.777745540112921
"MLI",3,0.837992659857365,0.626031667694124,0.777846459031624
"MLI",4,0.844295833634619,0.639573437533364,0.786721245880329
"SLE",9,0.762407616345479,0.641801456605131,0.788173955971706
"COG",10,0.749073232902903,0.647784752185964,0.792066123643157
"COG",11,0.749194421334278,0.648019541570139,0.79221860225147
"COG",12,0.750084102602629,0.648185229730498,0.792326193680575
"GIN",1,0.765082116857855,0.648374843491718,0.79244931037868
"UGA",8,0.832842577945424,0.651716796539969,0.794617363301859
"TGO",4,0.837278133066295,0.652780362533002,0.795306618240955
"MLI",5,0.852255538026328,0.653521277599175,0.795786578981529
"BEN",4,0.809113207598066,0.654224769760792,0.796242150961756
"COG",9,0.753415620079145,0.654364229268071,0.796332440679388
